year,month,date_of_month,day_of_week,Date,births
2000,5,26,5,5/26/2000,12726
2000,5,27,6,5/27/2000,8991
2000,5,28,7,5/28/2000,7873
2000,5,29,1,5/29/2000,8272
2000,5,30,2,5/30/2000,11954
2000,5,31,3,5/31/2000,12941
2000,6,1,4,6/1/2000,13363
2000,6,2,5,6/2/2000,12695
2000,6,3,6,6/3/2000,8940
2000,6,4,7,6/4/2000,7983
2000,6,5,1,6/5/2000,11647
2000,6,6,2,6/6/2000,12765
2000,6,7,3,6/7/2000,12474
2000,6,8,4,6/8/2000,12751
2000,6,9,5,6/9/2000,12504
2000,6,10,6,6/10/2000,9134
2000,6,11,7,6/11/2000,8116
2000,6,12,1,6/12/2000,11848
2000,6,13,2,6/13/2000,12683
2000,6,14,3,6/14/2000,12849
2000,6,15,4,6/15/2000,12798
2000,6,16,5,6/16/2000,12727
2000,6,17,6,6/17/2000,9143
2000,6,18,7,6/18/2000,8162
2000,6,19,1,6/19/2000,11649
2000,6,20,2,6/20/2000,13017
2000,6,21,3,6/21/2000,12729
2000,6,22,4,6/22/2000,12809
2000,6,23,5,6/23/2000,12603
2000,6,24,6,6/24/2000,9094
2000,6,25,7,6/25/2000,8178
2000,6,26,1,6/26/2000,12164
2000,6,27,2,6/27/2000,13354
2000,6,28,3,6/28/2000,13033
2000,6,29,4,6/29/2000,13462
2000,6,30,5,6/30/2000,13225
2000,7,1,6,7/1/2000,9376
2000,7,2,7,7/2/2000,8100
2000,7,3,1,7/3/2000,11345
2000,7,4,2,7/4/2000,9550
2000,7,5,3,7/5/2000,12346
2000,7,6,4,7/6/2000,13853
2000,7,7,5,7/7/2000,13658
2000,7,8,6,7/8/2000,9631
2000,7,9,7,7/9/2000,8586
2000,7,10,1,7/10/2000,12420
2000,7,11,2,7/11/2000,13584
2000,7,12,3,7/12/2000,12827
2000,7,13,4,7/13/2000,12980
2000,7,14,5,7/14/2000,13230
2000,7,15,6,7/15/2000,9627
2000,7,16,7,7/16/2000,8423
2000,7,17,1,7/17/2000,12053
2000,7,18,2,7/18/2000,13663
2000,7,19,3,7/19/2000,13001
2000,7,20,4,7/20/2000,13173
2000,7,21,5,7/21/2000,13027
2000,7,22,6,7/22/2000,9463
